source,latitude,longitude,property_type,room_type,accommodates,bedrooms,beds,price,minimum_nights,maximum_nights,review_scores_rating
city scrape,40.44523,-3.69938,Entire rental unit,Entire home/apt,2,1.0,1.0,60.0,32,1125,4.71
previous scrape,40.42942,-3.71885,Private room in rental unit,Private room,1,1.0,1.0,25.0,13,1125,5.0
city scrape,40.39532,-3.74415,Private room in rental unit,Private room,2,1.0,1.0,28.0,60,1124,0.0
city scrape,40.4191,-3.70201,Entire rental unit,Entire home/apt,6,3.0,4.0,159.0,3,1125,4.53
city scrape,40.41591,-3.67635,Private room in rental unit,Private room,1,1.0,1.0,24.0,5,89,4.63
city scrape,40.41054,-3.6955,Entire rental unit,Entire home/apt,4,1.0,1.0,116.0,1,1125,4.64
city scrape,40.40576,-3.69775,Private room in rental unit,Private room,2,1.0,1.0,20.0,1,1125,4.44
city scrape,40.39796,-3.71605,Entire rental unit,Entire home/apt,5,3.0,4.0,265.0,2,1125,3.67
city scrape,40.48392,-3.68777,Private room in rental unit,Private room,1,1.0,1.0,28.0,4,1125,4.65
previous scrape,40.41247,-3.70683,Private room in rental unit,Private room,1,1.0,1.0,20.0,3,1125,4.09
previous scrape,40.4128,-3.70712,Private room in rental unit,Private room,1,1.0,1.0,20.0,3,1125,4.33
previous scrape,40.39727,-3.69466,Entire rental unit,Entire home/apt,4,2.0,2.0,65.0,4,30,4.74
city scrape,40.40984,-3.69908,Entire rental unit,Entire home/apt,7,1.0,4.0,67.0,2,1125,4.27
city scrape,40.41336,-3.72917,Entire rental unit,Entire home/apt,4,2.0,2.0,105.0,3,180,4.51
previous scrape,40.45476,-3.69296,Entire condo,Entire home/apt,2,1.0,1.0,71.0,3,30,4.93
city scrape,40.42156,-3.68008,Entire rental unit,Entire home/apt,3,1.0,2.0,184.0,1,365,4.71
city scrape,40.42408,-3.69941,Entire rental unit,Entire home/apt,2,1.0,1.0,90.0,2,90,4.59
city scrape,40.4225,-3.6977,Entire rental unit,Entire home/apt,4,2.0,3.0,87.0,2,45,4.19
city scrape,40.43208,-3.6744,Entire home,Entire home/apt,3,2.0,2.0,176.0,100,365,5.0
city scrape,40.41942,-3.70926,Entire rental unit,Entire home/apt,4,1.0,2.0,279.0,1,1125,4.86
city scrape,40.42226,-3.69958,Entire rental unit,Entire home/apt,5,1.0,3.0,93.0,1,1125,4.75
city scrape,40.42044,-3.70317,Private room in rental unit,Private room,2,1.0,1.0,60.0,3,5,4.89
city scrape,40.39195,-3.69619,Entire rental unit,Entire home/apt,4,2.0,2.0,88.0,3,1125,4.58
city scrape,40.40315,-3.69043,Entire rental unit,Entire home/apt,5,2.0,4.0,128.0,2,365,4.64
city scrape,40.41954,-3.70364,Entire rental unit,Entire home/apt,9,6.0,6.0,247.0,5,130,4.2
city scrape,40.45805,-3.69779,Private room in rental unit,Private room,2,1.0,1.0,87.0,1,1125,4.69
city scrape,40.43312,-3.69964,Entire rental unit,Entire home/apt,4,2.0,3.0,106.0,3,7,4.89
city scrape,40.37701,-3.74474,Private room in home,Private room,1,1.0,1.0,23.0,5,365,4.87
previous scrape,40.42261,-3.6977,Private room in rental unit,Private room,3,1.0,2.0,35.0,3,30,5.0
previous scrape,40.42606,-3.73227,Entire rental unit,Entire home/apt,6,3.0,3.0,200.0,15,1125,0.0
city scrape,40.42072,-3.705443,Entire rental unit,Entire home/apt,4,2.0,2.0,72.0,2,60,4.01
city scrape,40.39616,-3.71589,Entire rental unit,Entire home/apt,4,3.0,4.0,249.0,1,1125,1.0
previous scrape,40.40103,-3.70264,Entire rental unit,Entire home/apt,3,1.0,1.0,61.0,4,120,5.0
city scrape,40.42114,-3.69787,Entire rental unit,Entire home/apt,3,1.0,2.0,58.0,2,1124,4.0
city scrape,40.40882,-3.69563,Entire rental unit,Entire home/apt,5,2.0,2.0,124.0,3,30,4.71
city scrape,40.459248,-3.680389,Entire condo,Entire home/apt,6,2.0,4.0,157.0,3,90,4.83
previous scrape,40.45275,-3.70655,Private room in rental unit,Private room,1,1.0,1.0,42.0,2,1125,4.68
previous scrape,40.42718,-3.70147,Entire rental unit,Entire home/apt,1,1.0,1.0,39.0,2,1125,4.95
previous scrape,40.41577,-3.70425,Private room in rental unit,Private room,1,1.0,1.0,19.0,2,30,4.67
city scrape,40.47302,-3.71559,Entire loft,Entire home/apt,4,1.0,2.0,82.0,2,1125,4.64
city scrape,40.41153,-3.70767,Entire rental unit,Entire home/apt,6,2.0,3.0,133.0,2,1125,4.62
previous scrape,40.40019,-3.6962,Entire rental unit,Entire home/apt,8,2.0,5.0,106.0,200,1125,4.6
city scrape,40.3894,-3.69235,Entire condo,Entire home/apt,2,1.0,1.0,103.0,3,1124,4.75
previous scrape,40.40658,-3.70257,Entire rental unit,Entire home/apt,2,1.0,1.0,62.0,289,1000,5.0
city scrape,40.40657,-3.74339,Private room in rental unit,Private room,1,1.0,1.0,38.0,1,1125,5.0
previous scrape,40.41566,-3.70423,Entire rental unit,Entire home/apt,1,1.0,1.0,39.0,2,7,5.0
city scrape,40.42001,-3.702,Entire rental unit,Entire home/apt,6,2.0,3.0,127.0,3,364,4.64
city scrape,40.39308,-3.65534,Private room in rental unit,Private room,1,1.0,1.0,20.0,28,1125,4.6
previous scrape,40.43352,-3.69134,Entire serviced apartment,Entire home/apt,1,1.0,1.0,66.0,5,1125,4.67
previous scrape,40.42653,-3.71042,Entire rental unit,Entire home/apt,2,1.0,1.0,41.0,30,1125,4.73
city scrape,40.38671,-3.75562,Private room in rental unit,Private room,4,1.0,2.0,26.0,1,4,4.97
city scrape,40.40825,-3.7126,Entire rental unit,Entire home/apt,3,2.0,2.0,72.0,4,1124,4.47
city scrape,40.44738,-3.57728,Entire serviced apartment,Entire home/apt,4,1.0,1.0,68.0,1,60,4.43
city scrape,40.39848,-3.69712,Private room in rental unit,Private room,1,1.0,1.0,50.0,1,1125,4.71
city scrape,40.4254,-3.69988,Private room in rental unit,Private room,2,1.0,1.0,55.0,1,15,4.86
city scrape,40.38102,-3.62677,Entire rental unit,Entire home/apt,5,3.0,3.0,101.0,1,90,4.85
previous scrape,40.44716,-3.67302,Entire rental unit,Entire home/apt,2,1.0,1.0,65.0,1,1125,5.0
city scrape,40.4115285,-3.7034801,Private room in rental unit,Private room,4,1.0,2.0,128.0,1,365,4.37
