index,source,latitude,longitude,accommodates,bedrooms,beds,price,minimum_nights,maximum_nights,review_scores_rating,Entire home/apt,Hotel room,Private room,Shared room
999,city scrape,40.41542434692383,-3.711281061172485,1,1.0,1.0,0.07534246575342465,300,364,4.6,0.0,0.0,1.0,0.0
1000,city scrape,40.41542434692383,-3.711281061172485,1,1.0,1.0,0.0684931506849315,300,364,4.0,0.0,0.0,1.0,0.0
1001,previous scrape,40.46681,-3.63165,5,3.0,3.0,0.1952054794520548,2,1125,4.2,1.0,0.0,0.0,0.0
1002,city scrape,40.42425,-3.68818,2,1.0,1.0,0.4520547945205479,5,1125,4.0,1.0,0.0,0.0,0.0
1003,city scrape,40.42233276367188,-3.70681095123291,2,1.0,1.0,0.06506849315068493,1,1125,4.48,0.0,0.0,1.0,0.0
1004,previous scrape,40.41408,-3.7294,1,1.0,1.0,0.04794520547945205,1,1125,4.67,0.0,0.0,1.0,0.0
1005,city scrape,40.42039,-3.70566,1,1.0,1.0,0.09246575342465753,5,1125,4.82,0.0,0.0,1.0,0.0
1006,city scrape,40.39627,-3.71999,2,1.0,1.0,0.113013698630137,2,1125,4.95,0.0,0.0,1.0,0.0
1007,city scrape,40.40955,-3.71777,4,1.0,2.0,0.1952054794520548,5,1125,4.7,1.0,0.0,0.0,0.0
1008,previous scrape,40.40595,-3.67332,2,1.0,1.0,0.14383561643835616,1,1125,4.8,1.0,0.0,0.0,0.0
1009,previous scrape,40.40642,-3.69343,1,1.0,1.0,0.0410958904109589,1,3,4.5,0.0,0.0,1.0,0.0
1010,previous scrape,40.40232,-3.70909,2,1.0,1.0,0.1095890410958904,1,1125,4.75,0.0,0.0,1.0,0.0
1011,previous scrape,40.38992,-3.66989,2,1.0,1.0,0.1506849315068493,2,163,4.68,0.0,0.0,1.0,0.0
1012,previous scrape,40.40684,-3.70893,16,1.0,1.0,0.226027397260274,2,1125,4.91,1.0,0.0,0.0,0.0
1013,city scrape,40.4577,-3.62669,1,1.0,2.0,0.09246575342465753,2,30,4.9,0.0,0.0,1.0,0.0
1014,city scrape,40.4038,-3.70616,5,2.0,2.0,0.3972602739726027,2,1125,4.73,1.0,0.0,0.0,0.0
1015,previous scrape,40.41425,-3.6969,2,1.0,1.0,0.07534246575342465,3,1125,5.0,0.0,0.0,1.0,0.0
1016,previous scrape,40.43459,-3.70781,2,1.0,1.0,0.05136986301369863,1,38,4.77,0.0,0.0,1.0,0.0
1017,previous scrape,40.40751,-3.72157,4,2.0,2.0,0.16095890410958902,7,20,2.5,1.0,0.0,0.0,0.0
1018,city scrape,40.4706,-3.68704,4,1.0,2.0,0.3253424657534246,1,30,4.76,1.0,0.0,0.0,0.0
1019,city scrape,40.41537,-3.70331,4,1.0,2.0,0.2534246575342466,1,1125,4.63,1.0,0.0,0.0,0.0
1020,city scrape,40.42777,-3.71034,4,2.0,3.0,0.43493150684931503,2,12,4.51,1.0,0.0,0.0,0.0
1021,city scrape,40.41755,-3.70388,6,2.0,4.0,0.40753424657534243,1,1125,4.65,1.0,0.0,0.0,0.0
1022,city scrape,40.41301,-3.72495,4,1.0,2.0,0.2226027397260274,2,1125,4.71,1.0,0.0,0.0,0.0
1023,city scrape,40.41542434692383,-3.711281061172485,1,1.0,1.0,0.0684931506849315,300,364,3.0,0.0,0.0,1.0,0.0
1024,city scrape,40.41735,-3.70166,2,1.0,1.0,0.17465753424657532,2,10,4.92,0.0,0.0,1.0,0.0
